trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-110.25684501910568,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",35,0,-92.45668152540506,"{0: 27, 1: 3, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,2,-66.52952052032438,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,9,15.104143488517128,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,11,4.26160526533582,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-69.07658484355962,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,11,-60.35976130233353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,16,6.78755589449674,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-76.73122319950818,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-67.58753299842782,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,2,-93.54362609504686,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,-10.13923632134051,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,0,-39.49697762193303,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,5,-68.48230048681273,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-87.53915653240871,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,0,-51.6887401647862,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,0,-68.96398825389376,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,12,0.1856601400591349,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,15,-8.962550532558733,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",30,23,-7.6794018422240375,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,0,-57.86895357898101,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-14.512253852036544,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,0,-27.751513093282412,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",35,21,-29.056514699982735,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,16,-7.352537707060474,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,0,4.920514155582944,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,5.4235007163757984,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,9,16.125622141485866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",30,2,-18.029370947396703,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",25,0,-85.80936689269922,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,13,0.5359644898838143,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,15,-13.01072926456966,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,15,10.591525863787641,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",30,0,-55.83109581685767,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",30,16,4.495041478410121,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,6,-44.39739724467608,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,-34.71338537400085,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,5,24.204139486057684,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",30,0,-79.20897603458697,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",30,8,-97.9929747347977,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,14,10.818279532094206,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",25,5,-25.32299032540444,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,0,-24.92433306605721,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,0,-63.9587500512009,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,2,23.284117115647543,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,5,-98.27109330174126,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,7,-125.84174607029334,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 3}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,0,-2.1721689134590054,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,8,4.547541973667435,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",30,12,4.499325760238577,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,13,-0.7170206854322383,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,6,-7.684088139704398,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,15,10.637284273485086,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,2,-59.15972233346181,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,0,18.982916365373967,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,8,-14.721166420214352,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,0,4.375319540415805,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,10,-29.77450158233995,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",30,20,19.113460584290568,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",25,2,-79.09081671116164,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,5,-16.89266084585877,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,-0.5782205088228647,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,0,-12.85843307668846,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",25,0,-6.269993995063901,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",25,3,4.356274911195957,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",25,14,17.717473291410375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
