trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.6570468198150569}",20,0,-203.3296520747361,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
43,False,"{'a': 0.7, 'e': 0.6505090947233165}",25,11,-83.86743573670599,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
44,False,"{'a': 0.7, 'e': 0.6440364210831414}",25,0,-165.42952899331013,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.6376281516217733}",20,0,-18.00295263241804,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.631283645506926}",25,0,-27.03242614301665,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.7, 'e': 0.6250022682827008}",25,0,-33.177621832547736,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.6187833918061408}",25,0,-65.94419983145575,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.6126263941844161}",20,7,-32.714522386212195,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.7, 'e': 0.6065306597126334}",20,0,-67.92039684616401,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.7, 'e': 0.600495578812266}",25,14,19.24611520283873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.5945205479701944}",20,6,-20.579127814412786,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.5886049696783552}",25,0,-70.02963529220034,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.7, 'e': 0.5827482523739896}",20,0,-59.94516614665714,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.7, 'e': 0.5769498103804866}",25,5,-36.07894261944457,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.7, 'e': 0.5712090638488149}",20,0,-41.24776298622586,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
57,False,"{'a': 0.7, 'e': 0.5655254386995371}",20,0,-61.68472834742771,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.559898366565402}",25,11,-50.31685995499855,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.7, 'e': 0.5543272847345071}",20,0,-103.06002589613374,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",1
60,False,"{'a': 0.7, 'e': 0.5488116360940265}",30,0,-72.21158114652992,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
