trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6570468198150569}",25,0,-61.62827587416529,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,27.905332813767192,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-49.10672552395005,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,12,-48.854885056547054,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,10,2.6268128231574392,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-19.318859897111636,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-94.04843810939089,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,2,-15.27323762402462,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,4,-38.528252577951264,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.600495578812266}",20,0,-78.68372223435422,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,11,-40.652365473590464,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,0,-47.94233961172315,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,1,3.954422767331982,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-7.75546803671757,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,14,7.910422461940443,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,2,-81.68895916527138,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,11,1.2639244233970064,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,14,-35.64275065470568,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-78.93672253011952,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-69.91053522918625,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,5.246541716593684,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
